"college","dataSource","draftClass","image","name","nationality","ovr","position","realLifeRosterStatus","team","url"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/clay-webb-15144-madden-photo.png","Clay Webb","United States","63","OL","free_agent","Free Agent","https://www.maddenratings.com/clay-webb"
"Kansas State","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/deuce-vaughn-22748-madden-photo.png","Deuce Vaughn","United States","70","RB","free_agent","Free Agent","https://www.maddenratings.com/deuce-vaughn"
"Southern Miss","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/eric-scott-jr-23076-madden-photo.png","Eric Scott Jr.","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/eric-scott-jr"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/joshua-gray-15138-madden-photo.png","Joshua Gray","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/joshua-gray"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dominique-hampton-1091-madden-photo.png","Dominique Hampton","United States","67","DB","free_agent","Free Agent","https://www.maddenratings.com/dominique-hampton"
"Georgia Tech","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/EJ-Jenkins.png","E.J. Jenkins","United States","60","TE","assigned","Philadelphia Eagles","https://www.maddenratings.com/e-j-jenkins"
"Eastern Michigan","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/jose-ramirez-23140-madden-photo.png","Jose Ramirez","United States","65","LB","assigned","Philadelphia Eagles","https://www.maddenratings.com/jose-ramirez"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/joshua-miles-20676-madden-photo.png","Joshua Miles","United States","55","OL","free_agent","Free Agent","https://www.maddenratings.com/joshua-miles"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/ladarius-henderson-14728-madden-photo.png","LaDarius Henderson","United States","64","OL","free_agent","Free Agent","https://www.maddenratings.com/ladarius-henderson"
"Texas AM","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/germain-ifedi.png","Germain Ifedi","United States","75","OL","free_agent","Free Agent","https://www.maddenratings.com/germain-ifedi"
"USC","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/marlon-tuipulotu-21528-madden-photo.png","Marlon Tuipulotu","New Zealand","68","DL","assigned","Atlanta Falcons","https://www.maddenratings.com/marlon-tuipulotu"
"Georgia","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/lawrence-cager-21304-madden-photo.png","Lawrence Cager","United States","65","TE","assigned","Washington Commanders","https://www.maddenratings.com/lawrence-cager"
"Nebraska","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/ochaun-mathis-22939-madden-photo.png","Ochaun Mathis","United States","64","LB","free_agent","Free Agent","https://www.maddenratings.com/ochaun-mathis"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/milo-eifler.png","Milo Eifler","United States","62","LB","free_agent","Free Agent","https://www.maddenratings.com/milo-eifler"
"Ohio State","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/parris-campbell-20355-madden-photo.png","Parris Campbell","United States","71","WR","free_agent","Free Agent","https://www.maddenratings.com/parris-campbell"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/sataoa-laumea-14715-madden-photo.png","Sataoa Laumea","United States","66","OL","free_agent","Free Agent","https://www.maddenratings.com/sataoa-laumea"
"Nebraska","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/samori-toure-22372-madden-photo.png","Samori Toure","United States","67","WR","assigned","Philadelphia Eagles","https://www.maddenratings.com/samori-toure"
"Michigan","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/ryan-hayes-22868-madden-photo.png","Ryan Hayes","United States","63","OL","assigned","Carolina Panthers","https://www.maddenratings.com/ryan-hayes"
"Eastern Michigan","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/sidy-sow-23144-madden-photo.png","Sidy Sow","United States","64","OL","free_agent","Free Agent","https://www.maddenratings.com/sidy-sow"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tanner-mclachlan-14692-madden-photo.png","Tanner McLachlan","United States","64","TE","assigned","San Francisco 49ers","https://www.maddenratings.com/tanner-mclachlan"
"Penn St.","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/tariq-castro-fields-22245-madden-photo.png","Tariq Castro-Fields","United States","65","DB","assigned","Philadelphia Eagles","https://www.maddenratings.com/tariq-castro-fields"
"Georgia","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/trey-hill-21927-madden-photo.png","Trey Hill","United States","63","OL","assigned","Washington Commanders","https://www.maddenratings.com/trey-hill"
"Michigan St.","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/taybor-pepper.png","Taybor Pepper","United States","","","free_agent","Free Agent","https://www.maddenratings.com/taybor-pepper"
"Old Dominion","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/zack-kuntz-22832-madden-photo.png","Zack Kuntz","United States","62","TE","assigned","Las Vegas Raiders","https://www.maddenratings.com/zack-kuntz"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tyrone-wheatley-jr-23336-madden-photo.png","Tyrone Wheatley Jr.","United States","60","OL","free_agent","Free Agent","https://www.maddenratings.com/tyrone-wheatley-jr"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tejhaun-palmer-1106-madden-photo.png","Tejhaun Palmer","United States","66","WR","assigned","New England Patriots","https://www.maddenratings.com/tejhaun-palmer"
"Wash. St.","placeholder — no rating source found","2019","https://www.maddenratings.com/wp-content/uploads/andre-dillard-20368-madden-photo.png","Andre Dillard","United States","","","free_agent","Free Agent","https://www.maddenratings.com/andre-dillard"
"San Jose St.","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/andre-chachere.png","Andre Chachere","United States","","","free_agent","Free Agent","https://www.maddenratings.com/andre-chachere"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/anthony-pittman.png","Anthony Pittman","United States","65","LB","free_agent","Free Agent","https://www.maddenratings.com/anthony-pittman"
"Memphis","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/anthony-miller-13111-madden-photo.png","Anthony Miller","United States","68","WR","free_agent","Free Agent","https://www.maddenratings.com/anthony-miller"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/andy-isabella-20388-madden-photo.png","Andy Isabella","United States","","","free_agent","Free Agent","https://www.maddenratings.com/andy-isabella"
"Alabama","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/anthony-averett.png","Anthony Averett","United States","72","DB","free_agent","Free Agent","https://www.maddenratings.com/anthony-averett"
"Clemson","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/andrew-booth-jr-22255-madden-photo.png","Andrew Booth","United States","72","DB","free_agent","Free Agent","https://www.maddenratings.com/andrew-booth"
"","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/arlington-hambright.png","Arlington Hambright","United States","","","free_agent","Free Agent","https://www.maddenratings.com/arlington-hambright"
"Arkansas","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Antonio-Grier-Jr.png","Antonio Grier Jr","United States","62","LB","free_agent","Free Agent","https://www.maddenratings.com/antonio-grier-jr"
"Auburn","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/anthony-schwartz.png","Anthony Schwartz","United States","","","free_agent","Free Agent","https://www.maddenratings.com/anthony-schwartz"
"Boise State","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/avery-williams-21709-madden-photo.png","Avery Williams","United States","62","RB","free_agent","Free Agent","https://www.maddenratings.com/avery-williams"
"Arkansas","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/armon-watts.png","Armon Watts","United States","66","DL","free_agent","Free Agent","https://www.maddenratings.com/armon-watts"
"LSU","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/blake-ferguson.png","Blake Ferguson","United States","72","LS","free_agent","Free Agent","https://www.maddenratings.com/blake-ferguson"
"Oklahoma","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/austin-seibert.png","Austin Seibert","United States","78","K","free_agent","Free Agent","https://www.maddenratings.com/austin-seibert"
"","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/BJ-Thompson.png","BJ Thompson","United States","65","DL","free_agent","Free Agent","https://www.maddenratings.com/bj-thompson"
"Iowa","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/ben-niemann.png","Ben Niemann","United States","69","LB","free_agent","Free Agent","https://www.maddenratings.com/ben-niemann"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/bobby-price-21984-madden-photo.png","Bobby Price","United States","60","DB","free_agent","Free Agent","https://www.maddenratings.com/bobby-price"
"Pittsburgh","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/brandon-hill.png","Brandon Hill","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/brandon-hill"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/brandon-powell.png","Brandon Powell","United States","","","free_agent","Free Agent","https://www.maddenratings.com/brandon-powell"
"Auburn","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/cj-uzomah.png","C.J. Uzomah","United States","69","TE","free_agent","Free Agent","https://www.maddenratings.com/cj-uzomah"
"Nebraska","placeholder — no rating source found","2021","https://www.maddenratings.com/wp-content/uploads/brenden-jaimes-21653-madden-photo.png","Brenden Jaimes","United States","","","free_agent","Free Agent","https://www.maddenratings.com/brenden-jaimes"
"Virginia","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/bryce-hall-21263-madden-photo.png","Bryce Hall","United States","73","DB","free_agent","Free Agent","https://www.maddenratings.com/bryce-hall"
"Iowa","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/cj-beathard.png","C.J. Beathard","United States","65","QB","free_agent","Free Agent","https://www.maddenratings.com/cj-beathard"
"Penn State","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/cam-brown.png","Cam Brown","United States","69","LB","free_agent","Free Agent","https://www.maddenratings.com/cam-brown"
"Wagner College","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/cam-gill.png","Cam Gill","United States","66","LB","assigned","Carolina Panthers","https://www.maddenratings.com/cam-gill"
"Virginia Tech","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/caleb-farley.png","Caleb Farley","United States","73","DB","free_agent","Free Agent","https://www.maddenratings.com/caleb-farley"
"Michigan","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/chris-evans.png","Chris Evans","United States","72","RB","free_agent","Free Agent","https://www.maddenratings.com/chris-evans"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/christopher-hinton-22299-madden-photo.png","Christopher Hinton","United States","63","DL","free_agent","Free Agent","https://www.maddenratings.com/christopher-hinton"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/chris-conley.png","Chris Conley","Turkey","","","free_agent","Free Agent","https://www.maddenratings.com/chris-conley"
"Valdosta St.","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/christian-matthew.png","Christian Matthew","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/christian-matthew"
"Clemson","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/christian-wilkins.png","Christian Wilkins","United States","75","DL","free_agent","Free Agent","https://www.maddenratings.com/christian-wilkins"
"Texas","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/collin-johnson-21074-madden-photo.png","Collin Johnson","United States","69","WR","free_agent","Free Agent","https://www.maddenratings.com/collin-johnson"
"LSU","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/clyde-edwards-helaire-20957-madden-photo.png","Clyde Edwards-Helaire","United States","","","free_agent","Free Agent","https://www.maddenratings.com/clyde-edwards-helaire"
"Kansas State","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/cody-whitehair.png","Cody Whitehair","United States","73","OL","free_agent","Free Agent","https://www.maddenratings.com/cody-whitehair"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/connor-galvin.png","Connor Galvin","United States","","","free_agent","Free Agent","https://www.maddenratings.com/connor-galvin"
"UCLA","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/conor-mcdermott.png","Conor McDermott","United States","","","free_agent","Free Agent","https://www.maddenratings.com/conor-mcdermott"
"East Carolina","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/dante-smith.png","D&#8217;Ante Smith","United States","","","free_agent","Free Agent","https://www.maddenratings.com/dante-smith"
"Penn State","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/curtis-jacobs-14913-madden-photo.png","Curtis Jacobs","United States","","","free_agent","Free Agent","https://www.maddenratings.com/curtis-jacobs"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/DJ-Turner-1.png","D.J. Turner","United States","","","assigned","Houston Texans","https://www.maddenratings.com/dj-turner"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dalton-keene.png","Dalton Keene","United States","69","TE","free_agent","Free Agent","https://www.maddenratings.com/dalton-keene"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/donta-foreman.png","D&#8217;Onta Foreman","United States","","","free_agent","Free Agent","https://www.maddenratings.com/donta-foreman"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dakoda-shepley.png","Dakoda Shepley","Canada","60","OL","free_agent","Free Agent","https://www.maddenratings.com/dakoda-shepley"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/darrynton-evans-20921-madden-photo.png","Darrynton Evans","United States","71","RB","free_agent","Free Agent","https://www.maddenratings.com/darrynton-evans"
"Texas","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/geoff-swaim.png","Geoff Swaim","United States","70","TE","free_agent","Free Agent","https://www.maddenratings.com/geoff-swaim"
"Michigan","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/david-long-jr-20605-madden-photo.png","David Long Jr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/david-long-jr-cb"
"Georgia","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/david-andrews.png","David Andrews","United States","66","OL","free_agent","Free Agent","https://www.maddenratings.com/david-andrews"
"","placeholder — no rating source found","2016","https://www.maddenratings.com/wp-content/uploads/daryl-worley.png","Daryl Worley","United States","","","free_agent","Free Agent","https://www.maddenratings.com/daryl-worley"
"UCLA","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/gabriel-murphy-14857-madden-photo.png","Gabriel Murphy","United States","","","free_agent","Free Agent","https://www.maddenratings.com/gabriel-murphy"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/giovanni-ricci-21085-madden-photo.png","Giovanni Ricci","United States","","","free_agent","Free Agent","https://www.maddenratings.com/giovanni-ricci"
"South Alabama","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/gerald-everett.png","Gerald Everett","United States","","","free_agent","Free Agent","https://www.maddenratings.com/gerald-everett"
"Charlotte","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/grant-dubose.png","Grant DuBose","United States","","","free_agent","Free Agent","https://www.maddenratings.com/grant-dubose"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/greg-stroman.png","Greg Stroman","United States","70","DB","free_agent","Free Agent","https://www.maddenratings.com/greg-stroman"
"South Carolina","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/hayden-hurst.png","Hayden Hurst","United States","71","TE","free_agent","Free Agent","https://www.maddenratings.com/hayden-hurst"
"FAU","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/greg-joseph-13601-madden-photo.png","Greg Joseph","South Africa","","","free_agent","Free Agent","https://www.maddenratings.com/greg-joseph"
"","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/gregory-junior-22284-madden-photo.png","Gregory Junior","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/gregory-junior"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/harrison-hand.png","Harrison Hand","United States","","","free_agent","Free Agent","https://www.maddenratings.com/harrison-hand"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jah-joyner-15188-madden-photo.png","Jah Joyner","United States","63","DL","free_agent","Free Agent","https://www.maddenratings.com/jah-joyner"
"Oregon","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jake-hanson.png","Jake Hanson","United States","65","OL","free_agent","Free Agent","https://www.maddenratings.com/jake-hanson"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jody-fortson.png","Jody Fortson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jody-fortson"
"Boston College","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/john-johnson-iii.png","John Johnson III","United States","","","free_agent","Free Agent","https://www.maddenratings.com/john-johnson-iii"
"Fresno State","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jordan-mims-23364-madden-photo.png","Jordan Mims","United States","","","assigned","Minnesota Vikings","https://www.maddenratings.com/jordan-mims"
"Lindenwood","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jonathan-harris-20869-madden-photo.png","Jonathan Harris","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jonathan-harris"
"UCF","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/jordan-akins.png","Jordan Akins","United States","74","TE","free_agent","Free Agent","https://www.maddenratings.com/jordan-akins"
"Pittsburgh","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/jordan-whitehead.png","Jordan Whitehead","United States","78","DB","free_agent","Free Agent","https://www.maddenratings.com/jordan-whitehead"
"Marshall","placeholder — no rating source found","2021","https://www.maddenratings.com/wp-content/uploads/josh-ball.png","Josh Ball","United States","","","free_agent","Free Agent","https://www.maddenratings.com/josh-ball"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/josh-thompson-22221-madden-photo.png","Josh Thompson","United States","64","DB","assigned","Kansas City Chiefs","https://www.maddenratings.com/josh-thompson"
"Iowa","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/josey-jewell.png","Josey Jewell","United States","74","LB","free_agent","Free Agent","https://www.maddenratings.com/josey-jewell"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/josiah-ezirim-1164-madden-photo.png","Josiah Ezirim","United States","","","free_agent","Free Agent","https://www.maddenratings.com/josiah-ezirim"
"UCLA","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/joshua-kelley.png","Joshua Kelley","United States","","","free_agent","Free Agent","https://www.maddenratings.com/joshua-kelley"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/joshua-onujiogu.png","Joshua Onujiogu","United States","","","free_agent","Free Agent","https://www.maddenratings.com/joshua-onujiogu"
"Illinois","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/julian-pearl-14736-madden-photo.png","Julian Pearl","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/julian-pearl"
"Wake Forest","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/justin-herron.png","Justin Herron","United States","63","OL","free_agent","Free Agent","https://www.maddenratings.com/justin-herron"
"Illinois","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/justin-hardee-sr.png","Justin Hardee Sr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/justin-hardee-sr"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/justin-rogers.png","Justin Rogers","United States","67","DL","free_agent","Free Agent","https://www.maddenratings.com/justin-rogers"
"Boston College","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/justin-simmons.png","Justin Simmons","United States","82","DB","free_agent","Free Agent","https://www.maddenratings.com/justin-simmons"
"","placeholder — no rating source found","2019","https://www.maddenratings.com/wp-content/uploads/juwann-winfree.png","Juwann Winfree","United States","","","free_agent","Free Agent","https://www.maddenratings.com/juwann-winfree"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/kadar-hollman.png","Ka&#8217;Dar Hollman","United States","","","free_agent","Free Agent","https://www.maddenratings.com/kadar-hollman"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/kanai-mauga-23361-madden-photo.png","Kana&#8217;i Mauga","United States","","","free_agent","Free Agent","https://www.maddenratings.com/kanai-mauga"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kadeem-telfort-22902-madden-photo.png","Kadeem Telfort","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/kadeem-telfort"
"Penn State","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kj-hamler-20941-madden-photo.png","K.J. Hamler","United States","72","WR","free_agent","Free Agent","https://www.maddenratings.com/kj-hamler"
"Maryland","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/kaden-prather-15089-madden-photo.png","Kaden Prather","United States","66","WR","assigned","Green Bay Packers","https://www.maddenratings.com/kaden-prather"
"E. Illinois","placeholder — no rating source found","2016","https://www.maddenratings.com/wp-content/uploads/kamu-grugier-hill.png","Kamu Grugier-Hill","United States","","","free_agent","Free Agent","https://www.maddenratings.com/kamu-grugier-hill"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Kearis-Jackson.png","Kearis Jackson","United States","65","WR","free_agent","Free Agent","https://www.maddenratings.com/kearis-jackson"
"Illinois","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/keith-randolph-jr-14874-madden-photo.png","Keith Randolph Jr","United States","64","DL","free_agent","Free Agent","https://www.maddenratings.com/keith-randolph-jr"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/keilan-robinson.png","Keilan Robinson","United States","67","RB","free_agent","Free Agent","https://www.maddenratings.com/keilan-robinson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/keith-kirkwood-13910-madden-photo.png","Keith Kirkwood","United States","66","WR","free_agent","Free Agent","https://www.maddenratings.com/keith-kirkwood"
"Virginia Tech","placeholder — no rating source found","2016","https://www.maddenratings.com/wp-content/uploads/kendall-fuller.png","Kendall Fuller","United States","","","free_agent","Free Agent","https://www.maddenratings.com/kendall-fuller"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kendall-sheffield-20612-madden-photo.png","Kendall Sheffield","United States","70","DB","free_agent","Free Agent","https://www.maddenratings.com/kendall-sheffield"
"USC","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/kevon-seymour-17858-madden-photo.png","Kevon Seymour","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/kevon-seymour"
"Washington","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kevin-king.png","Kevin King","United States","74","DB","free_agent","Free Agent","https://www.maddenratings.com/kevin-king"
"Texas","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/keondre-coburn.png","Keondre Coburn","United States","66","DL","free_agent","Free Agent","https://www.maddenratings.com/keondre-coburn"
"Michigan","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/khaleke-hudson.png","Khaleke Hudson","United States","69","LB","free_agent","Free Agent","https://www.maddenratings.com/khaleke-hudson"
