name,pos,tier,ovr,file
Dwight Stephenson,OL,immortal,90.2,dwight_stephenson.png
Joe DeLamielleure,OL,immortal,89.0,joe_delamielleure.png
Larry Little,OL,immortal,90.2,larry_little.png
Mike Munchak,OL,immortal,89.0,mike_munchak.png
Randall McDaniel,OL,immortal,89.0,randall_mcdaniel.png
Rayfield Wright,OL,immortal,89.0,rayfield_wright.png
Ron Mix,OL,immortal,90.2,ron_mix.png
Ron Yary,OL,immortal,89.0,ron_yary.png
Roosevelt Brown,OL,immortal,90.2,roosevelt_brown.png
Russ Grimm,OL,immortal,90.2,russ_grimm.png
Stan Jones,OL,immortal,90.2,stan_jones.png
Tom Mack,OL,immortal,89.0,tom_mack.png
Bart Starr,QB,immortal,89.0,bart_starr.png
Ben Roethlisberger,QB,immortal,90.5,ben_roethlisberger.png
Cam Newton,QB,immortal,90.5,cam_newton.png
Dan Marino,QB,immortal,90.5,dan_marino.png
Joe Burrow,QB,immortal,90.2,joe_burrow.png
Joe Montana,QB,immortal,90.5,joe_montana.png
Joe Theismann,QB,immortal,89.0,joe_theismann.png
John Elway,QB,immortal,90.5,john_elway.png
Johnny Unitas,QB,immortal,90.2,johnny_unitas.png
Ken Stabler,QB,immortal,89.0,ken_stabler.png
Len Dawson,QB,immortal,89.0,len_dawson.png
Michael Vick,QB,immortal,90.5,michael_vick.png
Otto Graham,QB,immortal,90.2,otto_graham.png
Peyton Manning,QB,immortal,90.5,peyton_manning.png
Randall Cunningham,QB,immortal,89.0,randall_cunningham.png
Roger Staubach,QB,immortal,90.5,roger_staubach.png
Sammy Baugh,QB,immortal,90.2,sammy_baugh.png
Steve Young,QB,immortal,90.5,steve_young.png
Tom Brady,QB,immortal,90.5,tom_brady.png
Troy Aikman,QB,immortal,90.5,troy_aikman.png
Warren Moon,QB,immortal,90.5,warren_moon.png
Bruce Smith,RE,immortal,94.0,bruce_smith.png
Deacon Jones,RE,immortal,92.0,deacon_jones.png
"Ed ""Too Tall"" Jones",RE,immortal,89.0,ed_too_tall_jones.png
Julius Peppers,RE,immortal,92.0,julius_peppers.png
Reggie White,RE,immortal,92.0,reggie_white.png
Lawrence Taylor,ROLB,immortal,92.0,lawrence_taylor.png
Von Miller,ROLB,immortal,90.2,von_miller.png
Forrest Gregg,RT,immortal,91.0,forrest_gregg.png
Brian Dawkins,SS,immortal,92.0,brian_dawkins.png
Ronnie Lott,SS,immortal,92.0,ronnie_lott.png
Sean Taylor,SS,immortal,90.0,sean_taylor.png
Steve Atwater,SS,immortal,90.0,steve_atwater.png
Troy Polamalu,SS,immortal,91.0,troy_polamalu.png
Antonio Gates,TE,immortal,91.0,antonio_gates.png
Jackie Smith,TE,immortal,90.2,jackie_smith.png
Jason Witten,TE,immortal,92.0,jason_witten.png
John Mackey,TE,immortal,90.2,john_mackey.png
Keith Jackson,TE,immortal,88.0,keith_jackson.png
Mike Ditka,TE,immortal,90.5,mike_ditka.png
Rob Gronkowski,TE,immortal,91.0,rob_gronkowski.png
Shannon Sharpe,TE,immortal,90.0,shannon_sharpe.png
Todd Christensen,TE,immortal,89.0,todd_christensen.png
Tony Gonzalez,TE,immortal,92.0,tony_gonzalez.png
Andre Johnson,WR,immortal,90.2,andre_johnson.png
Andre Reed,WR,immortal,89.0,andre_reed.png
Calvin Johnson,WR,immortal,90.0,calvin_johnson.png
Charley Taylor,WR,immortal,89.0,charley_taylor.png
Cris Carter,WR,immortal,90.0,cris_carter.png
Devin Hester,WR,immortal,90.5,devin_hester.png
Don Maynard,WR,immortal,89.0,don_maynard.png
Drew Pearson,WR,immortal,89.0,drew_pearson.png
Fred Biletnikoff,WR,immortal,90.2,fred_biletnikoff.png
Herman Moore,WR,immortal,89.0,herman_moore.png
Irving Fryar,WR,immortal,89.0,irving_fryar.png
James Lofton,WR,immortal,90.2,james_lofton.png
Jerry Rice,WR,immortal,92.0,jerry_rice.png
Larry Fitzgerald,WR,immortal,90.2,larry_fitzgerald.png
Michael Irvin,WR,immortal,90.5,michael_irvin.png
Randy Moss,WR,immortal,90.0,randy_moss.png
Raymond Berry,WR,immortal,90.2,raymond_berry.png
Steve Largent,WR,immortal,91.0,steve_largent.png
Terrell Owens,WR,immortal,90.2,terrell_owens.png
Barrett Jones,C,legend,87.9,barrett_jones.png
Dave Rimington,C,legend,88.2,dave_rimington.png
Patrick Peterson,CB,legend,89.5,patrick_peterson.png
Albert Lewis,DB,legend,86.0,albert_lewis.png
Charlie Waters,DB,legend,86.0,charlie_waters.png
Dick Anderson,DB,legend,86.0,dick_anderson.png
Eric Turner,DB,legend,86.0,eric_turner.png
Eugene Robinson,DB,legend,86.0,eugene_robinson.png
Fred Marion,DB,legend,86.0,fred_marion.png
George McAfee,DB,legend,86.0,george_mcafee.png
Joey Browner,DB,legend,86.0,joey_browner.png
Nolan Cromwell,DB,legend,86.0,nolan_cromwell.png
Roger Wehrli,DB,legend,86.0,roger_wehrli.png
Solomon Wilcots,DB,legend,86.0,solomon_wilcots.png
Terry McDaniel,DB,legend,86.0,terry_mcdaniel.png
Tom Brookshier,DB,legend,86.0,tom_brookshier.png
Clyde Simmons,DL,legend,86.0,clyde_simmons.png
Dan Saleaumua,DL,legend,86.0,dan_saleaumua.png
Dave Butz,DL,legend,86.0,dave_butz.png
Dexter Manley,DL,legend,86.0,dexter_manley.png
Greg Kragen,DL,legend,86.0,greg_kragen.png
Harvey Martin,DL,legend,86.0,harvey_martin.png
Jerome Brown,DL,legend,86.0,jerome_brown.png
Jim Marshall,DL,legend,86.0,jim_marshall.png
L.C. Greenwood,DL,legend,86.0,lc_greenwood.png
Leon Lett,DL,legend,86.0,leon_lett.png
Leonard Marshall,DL,legend,86.0,leonard_marshall.png
Leslie O'Neal,DL,legend,86.0,leslie_o_neal.png
Marty Lyons,DL,legend,86.0,marty_lyons.png
Mike Golic,DL,legend,86.0,mike_golic.png
Rulon Jones,DL,legend,86.0,rulon_jones.png
Tony Tolbert,DL,legend,86.0,tony_tolbert.png
"William ""Refrigerator"" Perry",DL,legend,86.0,william_refrigerator_perry.png
Bronko Nagurski,DT,legend,89.5,bronko_nagurski.png
Jonathan Allen,DT,legend,89.5,jonathan_allen.png
Alan Ameche,FB,legend,84.0,alan_ameche.png
Daryl Johnston,FB,legend,88.5,daryl_johnston.png
Doc Blanchard,FB,legend,84.0,doc_blanchard.png
Glenn Davis,FB,legend,84.0,glenn_davis.png
Howard Cassady,FB,legend,84.0,howard_cassady.png
Ickey Woods,FB,legend,86.0,ickey_woods.png
Jay Berwanger,FB,legend,84.0,jay_berwanger.png
John Kimbrough,FB,legend,84.0,john_kimbrough.png
Larry Centers,FB,legend,85.0,larry_centers.png
Merril Hoge,FB,legend,86.0,merril_hoge.png
Steve Owens,FB,legend,84.0,steve_owens.png
Tom Rathman,FB,legend,86.0,tom_rathman.png
Minkah Fitzpatrick,FS,legend,89.5,minkah_fitzpatrick.png
Tyrann Mathieu,FS,legend,89.0,tyrann_mathieu.png
Abner Haynes,HB,legend,86.0,abner_haynes.png
Archie Griffin,HB,legend,88.0,archie_griffin.png
Barry Foster,HB,legend,86.0,barry_foster.png
Billy Sims,HB,legend,86.0,billy_sims.png
Charley Trippi,HB,legend,86.0,charley_trippi.png
Chris Warren,HB,legend,86.0,chris_warren.png
Christian McCaffrey,HB,legend,89.0,christian_mccaffrey.png
Christian Okoye,HB,legend,86.0,christian_okoye.png
Chuck Foreman,HB,legend,86.0,chuck_foreman.png
Chuck Muncie,HB,legend,86.0,chuck_muncie.png
Curt Warner,HB,legend,86.0,curt_warner.png
Dalton Hilliard,HB,legend,86.0,dalton_hilliard.png
Dave Meggett,HB,legend,86.0,dave_meggett.png
Derrick Henry,HB,legend,84.0,derrick_henry.png
Eric Bieniemy,HB,legend,86.0,eric_bieniemy.png
Floyd Little,HB,legend,86.0,floyd_little.png
Freeman McNeil,HB,legend,86.0,freeman_mcneil.png
Greg Bell,HB,legend,86.0,greg_bell.png
Matt Snell,HB,legend,86.0,matt_snell.png
Mike Rozier,HB,legend,86.0,mike_rozier.png
Natrone Means,HB,legend,86.0,natrone_means.png
Reggie Bush,HB,legend,88.2,reggie_bush.png
Reggie Cobb,HB,legend,86.0,reggie_cobb.png
Ricky Williams,HB,legend,87.0,ricky_williams.png
Ronnie Bull,HB,legend,86.0,ronnie_bull.png
Tony Canadeo,HB,legend,86.0,tony_canadeo.png
Tony Nathan,HB,legend,86.0,tony_nathan.png
Al Del Greco,K,legend,86.0,al_del_greco.png
Eddie Murray,K,legend,86.0,eddie_murray.png
Garo Yepremian,K,legend,86.0,garo_yepremian.png
Jeff Jaeger,K,legend,86.0,jeff_jaeger.png
Jim Bakken,K,legend,86.0,jim_bakken.png
Lou Groza,K,legend,86.0,lou_groza.png
Brad Van Pelt,LB,legend,86.0,brad_van_pelt.png
Brian Bosworth,LB,legend,89.0,brian_bosworth.png
Brian Jones,LB,legend,86.0,brian_jones.png
Bryce Paup,LB,legend,86.0,bryce_paup.png
Carl Banks,LB,legend,86.0,carl_banks.png
Chris Spielman,LB,legend,86.0,chris_spielman.png
Chuck Noll,LB,legend,86.0,chuck_noll.png
Gary Plummer,LB,legend,86.0,gary_plummer.png
Jessie Tuggle,LB,legend,86.0,jessie_tuggle.png
John Anderson,LB,legend,86.0,john_anderson.png
John Offerdahl,LB,legend,86.0,john_offerdahl.png
Karl Mecklenburg,LB,legend,86.0,karl_mecklenburg.png
Ken Norton Jr.,LB,legend,86.0,ken_norton_jr.png
Lamar Lathon,LB,legend,86.0,lamar_lathon.png
Nick Buoniconti,LB,legend,86.0,nick_buoniconti.png
Otis Wilson,LB,legend,86.0,otis_wilson.png
Pepper Johnson,LB,legend,86.0,pepper_johnson.png
Robert Brazile,LB,legend,86.0,robert_brazile.png
Scott Studwell,LB,legend,86.0,scott_studwell.png
Hugh Green,LE,legend,89.5,hugh_green.png
Bill Curry,OL,legend,86.0,bill_curry.png
Bill Fralic,OL,legend,87.0,bill_fralic.png
Bob St. Clair,OL,legend,86.0,bob_st_clair.png
Bubba Paris,OL,legend,86.0,bubba_paris.png
Dermontti Dawson,OL,legend,86.0,dermontti_dawson.png
Guy McIntyre,OL,legend,86.0,guy_mcintyre.png
Jesse Sapolu,OL,legend,86.0,jesse_sapolu.png
Jim Lachey,OL,legend,86.0,jim_lachey.png
Jim Langer,OL,legend,86.0,jim_langer.png
Joe Jacoby,OL,legend,86.0,joe_jacoby.png
Korey Stringer,OL,legend,86.0,korey_stringer.png
Lou Creekmur,OL,legend,86.0,lou_creekmur.png
Mick Tingelhoff,OL,legend,86.0,mick_tingelhoff.png
Randy Cross,OL,legend,86.0,randy_cross.png
Richmond Webb,OL,legend,86.0,richmond_webb.png
Steve Wisniewski,OL,legend,86.0,steve_wisniewski.png
Tony Boselli,OL,legend,86.0,tony_boselli.png
Ray Guy,P,legend,86.0,ray_guy.png
Andre Ware,QB,legend,86.0,andre_ware.png
Archie Manning,QB,legend,86.0,archie_manning.png
Baker Mayfield,QB,legend,86.0,baker_mayfield.png
Bernie Kosar,QB,legend,86.0,bernie_kosar.png
Bill Wade,QB,legend,86.0,bill_wade.png
Bobby Hebert,QB,legend,86.0,bobby_hebert.png
Bubby Brister,QB,legend,86.0,bubby_brister.png
Dave Krieg,QB,legend,86.0,dave_krieg.png
Deshaun Watson,QB,legend,85.0,deshaun_watson.png
Greg Landry,QB,legend,86.0,greg_landry.png
Jeff Hostetler,QB,legend,86.0,jeff_hostetler.png
Jim Harbaugh,QB,legend,86.0,jim_harbaugh.png
Jim Hart,QB,legend,86.0,jim_hart.png
Jim Zorn,QB,legend,86.0,jim_zorn.png
John Brodie,QB,legend,86.0,john_brodie.png
Johnny Manziel,QB,legend,84.0,johnny_manziel.png
Ken O'Brien,QB,legend,86.0,ken_o_brien.png
Lynn Dickey,QB,legend,86.0,lynn_dickey.png
Mark Rypien,QB,legend,86.0,mark_rypien.png
Neil O'Donnell,QB,legend,86.0,neil_o_donnell.png
Steve Bartkowski,QB,legend,86.0,steve_bartkowski.png
Steve Grogan,QB,legend,86.0,steve_grogan.png
Tim Tebow,QB,legend,84.0,tim_tebow.png
Tommie Frazier,QB,legend,84.0,tommie_frazier.png
Tommy Kramer,QB,legend,86.0,tommy_kramer.png
Ty Detmer,QB,legend,84.0,ty_detmer.png
Vince Young,QB,legend,84.0,vince_young.png
Chase Young,RE,legend,89.5,chase_young.png
Will Anderson Jr.,RE,legend,89.5,will_anderson_jr.png
Richie Incognito,RG,legend,84.0,richie_incognito.png
LaVar Arrington,ROLB,legend,89.0,lavar_arrington.png
Terrell Suggs,ROLB,legend,89.0,terrell_suggs.png
John Madden,RT,legend,85.0,john_madden.png
Tony Mandarich,RT,legend,88.1,tony_mandarich.png
Eric Berry,SS,legend,89.5,eric_berry.png
Ben Coates,TE,legend,86.0,ben_coates.png
Billy Joe Dupree,TE,legend,86.0,billy_joe_dupree.png
Brent Jones,TE,legend,86.0,brent_jones.png
Brock Bowers,TE,legend,87.0,brock_bowers.png
Dallas Clark,TE,legend,86.0,dallas_clark.png
Dave Casper,TE,legend,86.0,dave_casper.png
Eric Green,TE,legend,86.0,eric_green.png
Greg Olsen,TE,legend,89.5,greg_olsen.png
Jay Novacek,TE,legend,86.0,jay_novacek.png
Jeremy Shockey,TE,legend,85.0,jeremy_shockey.png
Jimmy Graham,TE,legend,89.0,jimmy_graham.png
Kellen Winslow II,TE,legend,85.0,kellen_winslow_ii.png
Ken MacAfee,TE,legend,85.0,ken_macafee.png
Kyle Pitts,TE,legend,87.0,kyle_pitts.png
Pete Metzelaars,TE,legend,86.0,pete_metzelaars.png
Troy Drayton,TE,legend,86.0,troy_drayton.png
Vernon Davis,TE,legend,89.5,vernon_davis.png
Alvin Harper,WR,legend,86.0,alvin_harper.png
Amari Cooper,WR,legend,89.5,amari_cooper.png
Anthony Carter,WR,legend,86.0,anthony_carter.png
Bobby Mitchell,WR,legend,86.0,bobby_mitchell.png
Cliff Branch,WR,legend,86.0,cliff_branch.png
Dante Lavelli,WR,legend,86.0,dante_lavelli.png
DeVonta Smith,WR,legend,89.5,devonta_smith.png
Desmond Howard,WR,legend,87.0,desmond_howard.png
Dwight Clark,WR,legend,86.0,dwight_clark.png
Eric Martin,WR,legend,86.0,eric_martin.png
Ernest Givins,WR,legend,86.0,ernest_givins.png
Gary Clark,WR,legend,86.0,gary_clark.png
Henry Ellard,WR,legend,86.0,henry_ellard.png
Ja'Marr Chase,WR,legend,89.5,ja_marr_chase.png
John Jefferson,WR,legend,86.0,john_jefferson.png
John Taylor,WR,legend,86.0,john_taylor.png
Justin Blackmon,WR,legend,89.0,justin_blackmon.png
Kevin Curtis,WR,legend,84.0,kevin_curtis.png
Mark Carrier,WR,legend,86.0,mark_carrier.png
Marvin Harrison Jr.,WR,legend,89.5,marvin_harrison_jr.png
Michael Crabtree,WR,legend,89.0,michael_crabtree.png
Pete Pihos,WR,legend,86.0,pete_pihos.png
"Raghib ""Rocket"" Ismail",WR,legend,86.0,raghib_rocket_ismail.png
Rick Upchurch,WR,legend,86.0,rick_upchurch.png
Ricky Sanders,WR,legend,86.0,ricky_sanders.png
Rob Moore,WR,legend,86.0,rob_moore.png
Steve Tasker,WR,legend,86.0,steve_tasker.png
Tony Martin,WR,legend,86.0,tony_martin.png
Wesley Walker,WR,legend,86.0,wesley_walker.png
Willie Gault,WR,legend,86.0,willie_gault.png
Yancey Thigpen,WR,legend,86.0,yancey_thigpen.png
